Vivado Simulator 2017.4
Time resolution is 1 ps
 y3 = 0.000000 z = 0.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 0.000000 z = 10.000000
 y3 = 60.298200 z = 10.000000
 y3 = 60.298200 z = 10.000000
 y3 = 52.169991 z = 10.000000
 y3 = 52.169991 z = 10.000000
 y3 = 45.355332 z = 10.000000
 y3 = 45.355332 z = 10.000000
 y3 = 39.641937 z = 10.000000
 y3 = 39.641937 z = 10.000000
 y3 = 34.851833 z = 10.000000
 y3 = 34.851833 z = 10.000000
 y3 = 30.835812 z = 10.000000
 y3 = 30.835812 z = 10.000000
 y3 = 27.468778 z = 10.000000
 y3 = 27.468778 z = 10.000000
 y3 = 24.645853 z = 10.000000
 y3 = 24.645853 z = 10.000000
 y3 = 22.279110 z = 10.000000
 y3 = 22.279110 z = 10.000000
 y3 = 20.294830 z = 10.000000
 y3 = 20.294830 z = 10.000000
 y3 = 27.209603 z = 10.000000
 y3 = 27.209603 z = 10.000000
 y3 = 21.278039 z = 10.000000
 y3 = 21.278039 z = 10.000000
 y3 = 17.390886 z = 10.000000
 y3 = 17.390886 z = 10.000000
 y3 = 14.843502 z = 10.000000
 y3 = 14.843502 z = 10.000000
 y3 = 13.174114 z = 10.000000
 y3 = 13.174114 z = 10.000000
 y3 = 12.080106 z = 10.000000
 y3 = 12.080106 z = 10.000000
 y3 = 11.363165 z = 10.000000
 y3 = 11.363165 z = 10.000000
 y3 = 10.893329 z = 10.000000
 y3 = 10.893329 z = 10.000000
 y3 = 10.585430 z = 10.000000
 y3 = 10.585430 z = 10.000000
 y3 = 10.383652 z = 10.000000
 y3 = 10.383652 z = 10.000000
 y3 = 12.069406 z = 10.000000
 y3 = 12.069406 z = 10.000000
 y3 = 11.080746 z = 10.000000
 y3 = 11.080746 z = 10.000000
 y3 = 10.564419 z = 10.000000
 y3 = 10.564419 z = 10.000000
 y3 = 10.294767 z = 10.000000
 y3 = 10.294767 z = 10.000000
 y3 = 10.153942 z = 10.000000
 y3 = 10.153942 z = 10.000000
 y3 = 10.080396 z = 10.000000
 y3 = 10.080396 z = 10.000000
 y3 = 10.041987 z = 10.000000
 y3 = 10.041987 z = 10.000000
 y3 = 10.021928 z = 10.000000
 y3 = 10.021928 z = 10.000000
 y3 = 10.011452 z = 10.000000
 y3 = 10.011452 z = 10.000000
 y3 = 10.005981 z = 10.000000
 y3 = 10.005981 z = 10.000000
 y3 = 10.003123 z = 10.000000
 y3 = 10.003123 z = 10.000000
 y3 = 10.001631 z = 10.000000
 y3 = 10.001631 z = 10.000000
 y3 = 10.000852 z = 10.000000
 y3 = 10.000852 z = 10.000000
 y3 = 10.000445 z = 10.000000
 y3 = 10.000445 z = 10.000000
 y3 = 10.000232 z = 10.000000
 y3 = 10.000232 z = 10.000000
 y3 = 10.000121 z = 10.000000
 y3 = 10.000121 z = 10.000000
 y3 = 10.000063 z = 10.000000
 y3 = 10.000063 z = 10.000000
 y3 = 10.000033 z = 10.000000
 y3 = 10.000033 z = 10.000000
 y3 = 10.000017 z = 10.000000
 y3 = 10.000017 z = 10.000000
 y3 = 10.000009 z = 10.000000
 y3 = 10.000009 z = 10.000000
 y3 = 14.895405 z = 10.000000
 y3 = 14.895405 z = 10.000000
 y3 = 9.706278 z = 10.000000
 y3 = 9.706278 z = 10.000000
 y3 = 10.017623 z = 10.000000
 y3 = 10.017623 z = 10.000000
 y3 = 9.998943 z = 10.000000
 y3 = 9.998943 z = 10.000000
 y3 = 10.000063 z = 10.000000
 y3 = 10.000063 z = 10.000000
 y3 = 9.999996 z = 10.000000
 y3 = 9.999996 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 10.000000 z = 10.000000
 y3 = 3.455056 z = 10.000000
 y3 = 3.455056 z = 10.000000
 y3 = 4.283230 z = 10.000000
 y3 = 4.283230 z = 10.000000
 y3 = 5.006611 z = 10.000000
 y3 = 5.006611 z = 10.000000
 y3 = 5.638457 z = 10.000000
 y3 = 5.638457 z = 10.000000
 y3 = 6.190351 z = 10.000000
 y3 = 6.190351 z = 10.000000
 y3 = 6.672411 z = 10.000000
 y3 = 6.672411 z = 10.000000
 y3 = 7.093472 z = 10.000000
 y3 = 7.093472 z = 10.000000
 y3 = 7.461254 z = 10.000000
 y3 = 7.461254 z = 10.000000
 y3 = 7.782498 z = 10.000000
 y3 = 7.782498 z = 10.000000
 y3 = 8.063093 z = 10.000000
 y3 = 8.063093 z = 10.000000
 y3 = 19.115575 z = 10.000000
 y3 = 19.115575 z = 10.000000
 y3 = 13.009493 z = 10.000000
 y3 = 13.009493 z = 10.000000
 y3 = 10.993579 z = 10.000000
 y3 = 10.993579 z = 10.000000
 y3 = 10.328029 z = 10.000000
 y3 
